osm_id,name,type
"230880383",,meadow
"230912042",,meadow
"230912043",,meadow
"230912045",,meadow
"230912046",,industrial
"230912047",,meadow
"230912049",,meadow
"231072344",,meadow
"231072345",,farmland
"231072346",,meadow
"231072347",,industrial
"231072348",,meadow
"231075047",,farmland
"231081587",,meadow
"231081588",,meadow
"231081590",,meadow
"231081591",,meadow
"231081592",,industrial
"231081595",,residential
"231081596",,meadow
"231082439",,residential
"231082440",,meadow
"231082441",,meadow
"231082442",,scrub
"231082443",,residential
"231082444",,meadow
"231082446",,residential
"231082447",,residential
"231082448",,meadow
"231082449",,meadow
"231082450",,residential
"231082451",,residential
"231082452",,residential
"231082453",,meadow
"231085417",,meadow
"231085418",,farmland
"231085422",,meadow
"231085424",,meadow
"231085429",,meadow
"231085431",,meadow
"231085433",,farmland
"231085435",,meadow
"231085436",,meadow
"231085439",,residential
"231085441",,meadow
"231085443",,meadow
"231086359",,residential
"231094849",,residential
"231096195",,residential
"231096196",,residential
"231098664",,farmland
"231098665",,farmland
"231098669",,industrial
"231098677",,farmland
"231105323",,meadow
"231105325",,meadow
"231105327",,meadow
"231105332",,meadow
"231105334",,meadow
"231107105",,farmland
"231107106",,farmland
"231107109",,farmland
"231107111",,meadow
"231108677",,farmland
"231108678",,farmland
"231108680",,meadow
"231108681",,farmland
"231108687",,farmland
"231108690",,meadow
"231108692",,farmland
"231108693",,farmland
"231109641",,farmland
"231109642",,meadow
"231109643",,meadow
"231109644",,farmland
"231109645",,meadow
"231109778",,farmland
"231109779",,farmland
"231109780",,meadow
"231155484",,meadow
"231155485",,meadow
"231155653",,meadow
"231155853",,meadow
"231156429",,meadow
"231156430",,commercial
"231159423",,farmland
"231159424",,farmland
"231313854",,meadow
"231313856",,meadow
"231313860",,residential
"231313861",,meadow
"231313867",,meadow
"231315908",,residential
"231323077",,farmland
"231323078",,farmland
"231323079",,farmland
"231323080",,farmland
"231323081",,farmland
"231323083",,meadow
"231323084",,farmland
"231323085",,meadow
"231323086",,farmland
"231323087",,farmland
"231323088",,farmland
"231323090",,farmland
"231326112",,farmland
"231326114",,farmland
"231326115",,farmland
"231326116",,farmland
"231326118",,farmland
"231326121",,farmland
"231326122",,farmland
"231326123",,farmland
"231344770",,farmland
"231344772",,farmland
"231349625",СОС Детско село,meadow
"231349642",,farmland
"231353218",,farmland
"231353228",,farmland
"231353231",,meadow
"231353234",,farmland
"231354570",,meadow
"231354571",,farmland
"231354573",,meadow
"231354578",,landfill
"231354579",,meadow
"231360023",,meadow
"231360080",,farmland
"231393357",,farmland
"231421339",,residential
"231421341",,residential
"231423421",,residential
"231447102",,meadow
"231447105",,meadow
"231447106",,meadow
"231447111",,meadow
"231447114",,meadow
"231447116",,meadow
"231447119",,meadow
"231448638",,meadow
"231448640",,meadow
"231448641",,quarry
"231448643",,orchard
"231448644",,farmland
"231448645",,meadow
"231448646",,farmland
"231449237",,meadow
"231449370",,meadow
"231452471",,meadow
"231452472",,meadow
"231452473",,meadow
"231452475",,meadow
"231452476",,meadow
"231452477",,farmland
"231452478",,farmland
"231452480",,meadow
"231452481",,meadow
"231452483",,farmland
"231452487",,residential
"231452488",,meadow
"231452490",,meadow
"231457063",,meadow
"231457064",,meadow
"231457067",,meadow
"231457068",,meadow
"231457071",,meadow
"231457517",,farmland
"231461210",,farmland
"231462730",,meadow
"231462731",,farmland
"231462735",,farmland
"231465998",,meadow
"231466002",,meadow
"231491236",,meadow
"231491240",,meadow
"231491241",,meadow
"231491244",,meadow
"231491245",,meadow
"231491246",,orchard
"231513877",,farmland
"231514095",,meadow
"231514283",,meadow
"231514350",,meadow
"231514428",,residential
"231514447",,meadow
"231879187",,meadow
"231879189",,residential
"231879190",,residential
"231879191",,meadow
"231879192",,meadow
"231879193",,meadow
"231879194",,meadow
"231879196",,residential
"231879197",,meadow
"231879198",,meadow
"231952335",Sky City,construction
"233008089",,residential
"233008459",,industrial
"233008460",,village_green
"233008461",,farmland
"233410986",,farmland
"233410988",,farmland
"233410991",,meadow
"233410997",,meadow
"233410999",,farmland
"233411001",,meadow
"233411003",,meadow
"233411005",,meadow
"233411007",,meadow
"233411011",,farmland
"233411013",,farmland
"233411014",,meadow
"233411015",,meadow
"233415886",,farmland
"233415888",,farmland
"233415890",,meadow
"233538944",,industrial
"234395634",,farmland
"234395635",,vineyard
"234395637",,industrial
"234395638",,meadow
"234395639",,industrial
"234395640",,farmland
"234395644",,meadow
"234395645",,meadow
"234395646",,industrial
"234395647",,meadow
"234395649",,farmland
"234395650",,industrial
"234395651",,meadow
"234395653",,farmland
"234395655",,industrial
"234395656",,meadow
"234395657",,orchard
"234395658",,farmland
"234395660",,meadow
"234395662",,farmland
"234395663",,vineyard
"234395664",,meadow
"234395666",,farmland
"234395667",,farmland
"234395668",,meadow
"234395669",,meadow
"234395670",,farmland
"234395671",,farmland
"234395673",,farmland
"234395674",,industrial
"234398627",,orchard
"234399803",,industrial
"234405068",,residential
"234405069",,meadow
"234405070",,residential
"234405071",,farmland
"234405072",,meadow
"234405073",,industrial
"234405074",,industrial
"234405077",,farmland
"234405078",,landfill
"234405079",,residential
"234405080",,orchard
"234405081",,residential
"234405082",,landfill
"234405083",,farmland
"234405084",,residential
"234405085",,industrial
"234405086",,farmland
"234405087",,residential
"234405088",,meadow
"234405089",,farmland
"234411269",,farmland
"234411270",,industrial
"234411271",,industrial
"234411272",,residential
"234411273",,residential
"234411274",,cemetery
"234411278",,residential
"234411979",,farmland
"234411980",,industrial
"234411981",,industrial
"234411982",,meadow
"234413198",,residential
"234413635",,farmland
"234413702",,farmland
"234415399",,farmland
