osm_id,name,type
"164191035",Кузман Јосифовски - Питу,dormitory
"164191650",,
"164191654",,
"164191656",Италија,office
"164191658",,
"164435840",,
"164436143",,
"164436186",,
"172171547",Национална галерија „Дау,arts_centre
"172178304",Мустафа-пашина џамија,mosque
"172180530",Музеј на македонската бор,public
"172186249",Меморијален центар на хол,public
"172191987",Света Богородица - Матка,church
"172198515",Smart Living - furniture and lighting studio,commercial
"172198516",,residential
"172198517",ЛАНКом Компјутери,apartments
"172304766",Македонска Берза,office
"173694038",,school
"173694041",,school
"173694044",,
"173694045",,school
"174144792",Tinex,shop
"174144804",Драмски Театар,theatre
"174145158",,
"174145159",,
"174273472",,
"174273473",,
"174273474",,
"174273476",Комплекс Медицински Инсти,
"174273477",,
"174273478",,
"174273479",,
"174273482",,
"174273484",,
"174273485",,
"174273486",,
"174273489",,
"174273491",,
"174273492",,
"174273494",,
"174273495",Октомвриска,
"174273821",,
"174273823",,
"174273824",,
