osm_id,name,ref,type,oneway,bridge,maxspeed
"32818978",Његошева,,residential,"0","0",
"32818992",Његошева,,residential,"0","0",
"32819040",Демир Трајко,,residential,"0","0",
"32819151",,,footway,"0","0",
"32819172",Дамаска,,residential,"0","0","30"
"32819196",,,service,"0","0","30"
"32819197",,,service,"0","0","30"
"32819199",,,service,"0","0","30"
"32819209",,,service,"0","0","30"
"32819230",Нобелова,,residential,"0","0",
"32819236",Нобелова,,residential,"0","0",
"32819278",Петре Пирузе,,residential,"0","0","30"
"32819555",Аминта Трети,,residential,"0","0","40"
"32819559",Владимир Полежановски,,residential,"0","0",
"32819614",Диме Анцин,,residential,"1","0",
"32819616",Васил Стефановски,"284",residential,"1","0",
"32819634",Роза Луксембург,,residential,"1","0",
"32819719",Загребска,,residential,"0","0",
"32854913",,,footway,"0","0",
"32885940",Скупи 5А,,living_street,"0","0","10"
"32885951",Скупи 5А,,living_street,"0","0",
"32886466",,,footway,"0","0",
"32886677",,,unclassified,"0","0",
"32887942",Ѓорѓи Пулевски,,residential,"0","0",
"32888610",Јуриј Гагарин,,residential,"0","0",
"32888638",Козле 2,,residential,"0","0",
"32888688",козле ул 2,,path,"0","0",
"32898503",Улица 1,,tertiary,"0","0",
"32898553",,,residential,"0","0",
"32899107",Мајка Тереза,A2,motorway,"1","0","120"
"32899278",Мајка Тереза,"A2;A4",motorway,"1","0","120"
"32899442",,,footway,"0","0",
"32900401",,,service,"0","0",
"32904421",,,residential,"0","0",
"32904490",,,residential,"0","0",
"32904536",Сава Михајлов,,residential,"0","0",
"32904537",Финска,,residential,"0","0",
"32904539",Сава Михајдов/8,,residential,"0","0",
"32904541",Сава Михајлов 4,,residential,"0","0",
"32904546",Трајко Китанчев,,residential,"0","0",
"32904547",Кожув,,residential,"0","0",
"32904572",Неготинска,,residential,"0","0",
"32904573",Неготинска,,residential,"0","0",
"32904575",Неготинска,,residential,"0","0",
"32904578",Кавадарска,,residential,"0","0",
"32904579",Кавадарска,,residential,"0","0",
"32904604",Кавадарска,,residential,"0","0",
"32904606",Сава Михајлов,,residential,"0","0",
"32904644",Хритифор Жефаровиќ,,residential,"0","0",
"32904650",Томас Минцер,,residential,"0","0",
"32904652",Тодор Чопов,,residential,"0","0",
"32904654",Тодор Еџов,,residential,"0","0",
"32904680",Тодор Еџов,,residential,"0","0",
"32904689",Тодор Еџов,,residential,"0","0",
"32904722",Методија Андонов Ченто,,residential,"0","0",
"32904727",Методија Андонов Ченто,,residential,"0","0",
"32904729",,,residential,"0","0",
"32904746",Јухноморавски Бригади,,residential,"0","0",
"32904748",,,residential,"0","0",
"32904755",Срекко Пухалка,,residential,"0","0",
"32904759",Методија Андонов Ченто,,residential,"0","0",
"32904769",Финска,,residential,"0","0",
"32904777",Финска,,residential,"0","0",
"32904779",Финска,,residential,"0","0",
"32904783",Финска,,residential,"0","0",
"32904806",Финска,,residential,"0","0",
"32904823",Маџари,,residential,"0","0",
"32904846",Сречко Пужалка,,residential,"0","0",
"32904919",Александар Урдаревски,,tertiary,"0","0","50"
"32904922",,,secondary_link,"0","0",
"32905084",,,tertiary,"0","0","60"
"32905175",Ќемал Сејфула,,tertiary,"0","0",
"32905193",,,motorway_link,"1","0",
"32905195",,,motorway_link,"1","0",
"32905196",,,motorway_link,"1","0",
"32905203",,,motorway_link,"1","0",
"32905226",Мајка Тереза,"A2;A4",motorway,"1","0","120"
"32905494",Радишанска,,tertiary,"0","0",
"32905615",Боро Кралевски,,residential,"0","0",
"32905624",Амди Демир,,residential,"0","0",
"32905653",Скоевска,,living_street,"0","0",
"32905682","1558",,living_street,"0","0",
"32905692",Ѓоре Ѓоревски,,living_street,"0","0",
"32905707",Скоевска,,living_street,"0","0",
"32905719",Петко Јанчевски,,living_street,"0","0",
"32905720",,,living_street,"0","0",
"32905726",,,living_street,"0","0",
"32905751",Марко Крале,,residential,"0","0",
